objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
uswh001,1724_thefemalephysician_johnmaubray.pdf,,The Female Physician,pdf,"The dedication and preface to the book, in which Maubray addresses female physicians and discusses women's health.",John Maubray,,1724,,book,Midwives; Female Physicians; Midwifery; Wives; Midwife Prefaces,London,51.511354,-0.124179,,Gale Primary Sources Online,"Maubray, John. The female physician. (London: Printed for James Holland, 1724). Archives of Sexuality and Gender, link.gale.com/apps/doc/TZYVGP255222135/AHSI?u=northwestern&sid=bookmark-AHSI&pg=7. Accessed 4 May 2023.",link.gale.com/apps/doc/TZYVGP255222135/AHSI?u=,GALE|TZYVGP255222135,uswh001,"Users may reproduce images and text from Gale Primary Sources archives for research, teaching and learning purposes at their institution. This includes, but is not limited to, reproduction in assignments, presentations, essays, dissertations, and handouts.",https://go-gale-com.turing.library.northwestern.edu/ps/helpCenter?userGroupName=northwestern&inPS=true&nspage=true&prodId=NCCO&docId=TMNXYJ502544502&title=Copyright%20and%20Reuse,text,eng,
uswh002,1731_lawsordersandordinancesofnyc.pdf,,A Law for Regulating Midwives within the City of New-York,pdf,Law regulating the practices and duties of midwives within the city,City of New York,,1731-11-18,,law,Midwives; Laws; Regulation; Midwifery; Midwife Prefaces,New York City,40.710723,-74.005431,,America's Historical Imprints,"Laws, orders & ordinances established by the mayor, recorder, aldermen and assistants of the city of New-York, Novemeber 11, 1731. (Printed and sold by William Bradford in the city of New-York,, 1731). Early American Imprints, Series 1, no. 3458  (filmed), America's Historical Imprints by NewsBank. https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F3014ABED9E5C28&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A. Accessed May 9, 2023",https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F3014ABED9E5C28&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A,0F3014ABED9E5C28; w018938,uswh002,"Consistent with the fair-use provisions of the Copyright Act of the United States, Customer and Customer's Authorized Users are licensed to reproduce or store only insubstantial portions of the Products, resulting from specific searches for Customer's and/or Authorized Users’ own non-commercial academic, educational and research purposes.",https://infoweb-newsbank-com.turing.library.northwestern.edu/iw-search/we/Evans/?p_product=EAIX&p_theme=help&p_action=main&f_id=terms&p_nbid=T65C58VSMTY4NDQxODUzNS41NTM2MzoxOjE1OjEyOS4xMDUuMjE1LjE0Ng,text,eng,
uswh003,1737_acompletepracticeofmidwifery_sarahstone.pdf,,A Complete Practice of Midwifery,pdf,In the opening pages of this text the author addresses the Queen and makes an argument for the value of women midwives,Sarah Stone,,1737,,book,Midwives; Midwifery; Female Physicians; Female Midwives; Midwife Prefaces; Gender; Medical Training; Midwife Prefaces,London,51.511354,-0.124179,,Gale Primary Sources Online,"Stone, Sarah. A complete practice of midwifery. (London: Printed for T. Cooper, 1737). Archives of Sexuality and Gender, link.gale.com/apps/doc/VLAAVM905526615/AHSI?u=northwestern&sid=bookmark-AHSI&pg=7. Accessed 4 May 2023",link.gale.com/apps/doc/VLAAVM905526615/AHSI?u=northwestern&sid=bookmark-AHSI&pg=7,GALE|VLAAVM905526615,uswh003,"Users may reproduce images and text from Gale Primary Sources archives for research, teaching and learning purposes at their institution. This includes, but is not limited to, reproduction in assignments, presentations, essays, dissertations, and handouts.",https://go-gale-com.turing.library.northwestern.edu/ps/helpCenter?userGroupName=northwestern&inPS=true&nspage=true&prodId=NCCO&docId=TMNXYJ502544502&title=Copyright%20and%20Reuse,text,eng,
uswh004,1739_theladiesphysical directory_byaphysician.pdf,,"The Ladies Physical Directory by ""A Physician""",pdf,"A handbook providing advice for women about women's health conditions, especially pertaining to fertility and sexual health.",A Physician,,1739,,book,Midwives; Female Illness; Fertility; Women's Health; Women's Rememdies; Midwife Prefaces; Housewife Manual,London,51.511354,-0.124179,,Gale Primary Sources Online,"The Ladies Physical Directory. 7th ed., (Printed and sold, by the author's appointment at the gentlewoman's at the Two Blue Posts in Haydon Yard in the Minories, 1739). Archives of Sexuality and Gender, link.gale.com/apps/doc/UDKTZZ396997611/AHSI?u=northwestern&sid=bookmark-AHSI&pg=5. Accessed 4 May 2023.",link.gale.com/apps/doc/UDKTZZ396997611/AHSI?u=northwestern&sid=bookmark-AHSI&pg=5,GALE|UDKTZZ396997611,uswh004,"Users may reproduce images and text from Gale Primary Sources archives for research, teaching and learning purposes at their institution. This includes, but is not limited to, reproduction in assignments, presentations, essays, dissertations, and handouts.",https://go-gale-com.turing.library.northwestern.edu/ps/helpCenter?userGroupName=northwestern&inPS=true&nspage=true&prodId=NCCO&docId=TMNXYJ502544502&title=Copyright%20and%20Reuse,text,eng,
uswh005,1773_lawsofalbany.pdf,,An Ordinance for Regulating Midwives in the City of Albany,pdf,"Law regulating midwives and man-midwives, including an oath for practitioners within Albany, New York. ",City of Albany,,1773,,law,Midwives; Midwifery; Regulation; Laws; Midwife Prefaces,"Albany, New York",42.65214882532668,-73.75746974458454,,America's Historical Imprints,"Laws and ordinances, of the mayor, recorder, aldermen, and commonalty, of the city of Albany. (Albany: Printed by Alexander and James Robertson,, MDCCLXXIII. [1773]). https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2FD463F0FCE0D8&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A. Accessed May 9, 2023.",https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2FD463F0FCE0D8&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A,0F2FD463F0FCE0D8; w001460,uswh005,"Consistent with the fair-use provisions of the Copyright Act of the United States, Customer and Customer's Authorized Users are licensed to reproduce or store only insubstantial portions of the Products, resulting from specific searches for Customer's and/or Authorized Users’ own non-commercial academic, educational and research purposes.",https://infoweb-newsbank-com.turing.library.northwestern.edu/iw-search/we/Evans/?p_product=EAIX&p_theme=help&p_action=main&f_id=terms&p_nbid=T65C58VSMTY4NDQxODUzNS41NTM2MzoxOjE1OjEyOS4xMDUuMjE1LjE0Ng,text,eng,
uswh006,1800_lecturesofacourseofinstructiononmidwifery_valentine.pdf,,Three Concluding Lectures of a Course of Instruction on Midwifery,pdf,The preface to a lecture about the dangers of female midwives,Valentine Seaman,,1800,,lecture,Midwife Prefaces; Female Physicians; Midwives; Midwifery; Gender,New York City,40.710723,-74.005431,,Gale Primary Sources Online,"Valentine, Seaman. ""Three Concluding Lectures on a Course on the Instruction of Midwifery,"" in The Midwives Monitor, and Mothers Mirror. (New York: Isaac Collins, 1800). Archives of Sexuality and Gender, link.gale.com/apps/doc/QSTUAS833292398/AHSI?u=northwestern&sid=bookmark-AHSI&pg=1. Accessed 4 May 2023.",link.gale.com/apps/doc/QSTUAS833292398/AHSI?u=northwestern&sid=bookmark-AHSI&pg=1,GALE|QSTUAS833292398,uswh006,"Users may reproduce images and text from Gale Primary Sources archives for research, teaching and learning purposes at their institution. This includes, but is not limited to, reproduction in assignments, presentations, essays, dissertations, and handouts.",https://go-gale-com.turing.library.northwestern.edu/ps/helpCenter?userGroupName=northwestern&inPS=true&nspage=true&prodId=NCCO&docId=TMNXYJ502544502&title=Copyright%20and%20Reuse,text,eng,
uswh007,1806_acompendiumofmidwifery_bard.pdf,,A Compendium of the Theory and Practice of Midwifery,pdf,Introduction and sample case from a book meant to educate midwives on proper practices,"Samuel Bard, MD",,1807,,book,Midwife Prefaces; Midwifery; Midwives; Medical Training; Medical Education,New York City,40.710723,-74.005431,,America's Historical Imprints,"Bard, Samuel. A Compendium of the Theory and Practice of Midwifery. (New-York: Printed and sold by Collins and Perkins, no. 189, Pearl-Street., 1807). Early American Imprints, Series 2, no. 12080 (filmed). https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=1044044B5D0FF8D0&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A. Accessed May 9, 2023. ",https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=1044044B5D0FF8D0&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A,1044044B5D0FF8D0; w273410,uswh007,"Consistent with the fair-use provisions of the Copyright Act of the United States, Customer and Customer's Authorized Users are licensed to reproduce or store only insubstantial portions of the Products, resulting from specific searches for Customer's and/or Authorized Users’ own non-commercial academic, educational and research purposes.",https://infoweb-newsbank-com.turing.library.northwestern.edu/iw-search/we/Evans/?p_product=EAIX&p_theme=help&p_action=main&f_id=terms&p_nbid=T65C58VSMTY4NDQxODUzNS41NTM2MzoxOjE1OjEyOS4xMDUuMjE1LjE0Ng,text,eng,
uswh008,1812_importanceofobstetrickart_jones.pdf,,An Essay on the Importance of Obstetrick Art,pdf,"An essay for medical colleges about the history of midwifery going as far back as biblical and Greek origins, practice of midwifery around the world, and the importance of having trained practitioners.  ",Thomas Dashiell Jones,,1812-05,,essay,Midwife Prefaces; Medical Training; History,"Baltimore, Maryland",39.30956442,-76.61364616,,America's Historical Imprints,"Jones, Thomas Dashiell. An Essay on the Importance of Obstetrick Art. (Baltimore: Printed by Benjamen Eades, 1812). https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=104405E98D2BA4A0&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A. Accessed May 10, 2023.",https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=104405E98D2BA4A0&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A,104405E98D2BA4A0; w299990,uswh008,"Consistent with the fair-use provisions of the Copyright Act of the United States, Customer and Customer's Authorized Users are licensed to reproduce or store only insubstantial portions of the Products, resulting from specific searches for Customer's and/or Authorized Users’ own non-commercial academic, educational and research purposes.",https://infoweb-newsbank-com.turing.library.northwestern.edu/iw-search/we/Evans/?p_product=EAIX&p_theme=help&p_action=main&f_id=terms&p_nbid=T65C58VSMTY4NDQxODUzNS41NTM2MzoxOjE1OjEyOS4xMDUuMjE1LjE0Ng,text,eng,
uswh009,1818_theladiesmedicalcompanion_ewell.pdf,,The Ladies Medical Companion in a Series of Letters,pdf,"The introduction to a book intended, according to the author, to educate ladies on how to preserve their beauty and health, and to provide them with knowledge about pregnancy and childbirth so as to prevent the ineffictive ""meddling of ignorant midwives.""",Thomas Ewell,,1818,,book,Midwife Prefaces; Women's Health; Female Illness; Housewife Manual,"Philadelphia, Pennsylvania ",39.94239244699493,-75.16473587991707,,America's Historical Imprints,"Ewell, Thomas. The Ladies Medical Companion. (Philadelphia Printed by William Brown, 1818). Early American Imprints, Series 2, no. 43981 (filmed). https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=104405B928F7A3F0&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A",https://docs-newsbank-com.turing.library.northwestern.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=104405B928F7A3F0&svc_dat=Evans:eaidoc&req_dat=0D0CB53F8E1A362A,104405B928F7A3F0; w296863,uswh009,"Consistent with the fair-use provisions of the Copyright Act of the United States, Customer and Customer's Authorized Users are licensed to reproduce or store only insubstantial portions of the Products, resulting from specific searches for Customer's and/or Authorized Users’ own non-commercial academic, educational and research purposes.",https://infoweb-newsbank-com.turing.library.northwestern.edu/iw-search/we/Evans/?p_product=EAIX&p_theme=help&p_action=main&f_id=terms&p_nbid=T65C58VSMTY4NDQxODUzNS41NTM2MzoxOjE1OjEyOS4xMDUuMjE1LjE0Ng,text,eng,
uswh010,1847_themarriedwomansprivatemedicalcompanion_mauriceau.pdf,,The Married Woman's Private Medical Companion,pdf,"Introduction and a chapter on miscarriage and abortion, discussing attitudes toward women managing their own health and pregnancies. The author's name is an alias for Ann Trow Lohman and her husband, Charles Lohman. Ann was an immigrant who moved to New York and performed abortions for women both in-person and over mail. You can read more about her life from the New York Historical Society here: https://wams.nyhistory.org/expansions-and-inequalities/politics-and-society/madame-restell/ ","A.M. Mauriceau, Professor of Diseases of Women",,1847,,book,Midwife Prefaces; Women's Health; Housewife Manual; Abortion; Madame Restell,New York City,40.710723,-74.005431,,Gale Primary Sources Online,"Mauriceau, A. M. The Married Woman's Private Medical Companion. (New York, n.p., 1847). Archives of Sexuality and Gender, link. gale.com/apps/doc/CIMOZS764696810/AHSI?u=northwestern&sid=bookmark-AHSI&pg=1. Accessed 4 May 2023",link.gale.com/apps/doc/CIMOZS764696810/AHSI?u=northwestern&sid=bookmark-AHSI&pg=1,GALE|CIMOZS764696810,uswh010,"Users may reproduce images and text from Gale Primary Sources archives for research, teaching and learning purposes at their institution. This includes, but is not limited to, reproduction in assignments, presentations, essays, dissertations, and handouts.",https://go-gale-com.turing.library.northwestern.edu/ps/helpCenter?userGroupName=northwestern&inPS=true&nspage=true&prodId=NCCO&docId=TMNXYJ502544502&title=Copyright%20and%20Reuse,text,eng,
